"Weeks","a","b","R2","RMSE","Fieldname","Approach"
8,12.0572237251021,1.8387609047524,0.0749194670161164,7.96976334200611,"SSF_202","1b"
9,8.33157421716728,2.23555703151391,0.114410146449831,7.63920635708387,"SSF_202","1b"
10,1.57034333604671,4.26289625345834,0.101790878391266,8.31862192245954,"SSF_202","1b"
11,13.13982785176,1.77946086503629,0.0445055677694286,8.09012968867694,"SSF_202","1b"
12,0.621413211811247,5.31759970174317,0.185856012213273,7.89618108712469,"SSF_202","1b"
13,0.316622964271132,6.15516713003445,0.214290710689663,8.80268436208216,"SSF_202","1b"
14,6.10884258419886,2.76381229653809,0.12501004625702,8.27867412245988,"SSF_202","1b"
1,82.5552255477044,-0.646583598922713,0.0105955188124933,8.9735339352402,"SSF_66","1b"
2,71.9883634397128,-0.134594465130726,0.00205993130310273,9.04040905389789,"SSF_66","1b"
3,90.3331661408386,-0.757762365477508,0.0224918025549964,8.97619115641176,"SSF_66","1b"
4,55.5103970812483,0.319455725085595,0.00792808232478268,9.071662018822,"SSF_66","1b"
5,36.1744692912755,0.74817467108493,0.0244991183041387,8.8704331144594,"SSF_66","1b"
6,14.8099570614022,1.80946118054588,0.0562022403092833,8.89042366102975,"SSF_66","1b"
7,7.20582279423445,2.50746830804173,0.049988128991105,9.02585444411156,"SSF_66","1b"
8,2.37727491595005,3.70044128127112,0.0779146975822281,8.86567947530165,"SSF_66","1b"
9,2.13715299679854,3.80742484726161,0.0581612013058536,8.94393901046675,"SSF_66","1b"
10,3.21338556689246,3.42896047950848,0.0495575079294493,9.0197477319787,"SSF_66","1b"
11,1.95737287753621,3.98227403335403,0.0901794720761498,8.93814707505115,"SSF_66","1b"
12,3.0588585063124,3.45951026674103,0.0749421768131451,9.0155397212369,"SSF_66","1b"
13,5.62545229621014,2.8120669134981,0.079131579885521,9.08060043641648,"SSF_66","1b"
1,15.1507436976213,-0.322720145335894,0.00406277691077373,2.06406379559507,"DMD_GH1","2a"
2,17.4865499987108,-0.717295650690094,0.0165187365776685,2.05270270225236,"DMD_GH1","2a"
3,15.4287791382361,-0.342784175602426,0.0068963013701475,2.05453147446172,"DMD_GH1","2a"
4,9.39690926483683,0.955891600161292,0.0744317202656564,1.99960471733017,"DMD_GH1","2a"
5,9.20483008743363,0.850544504537731,0.279838797971038,1.70715454688692,"DMD_GH1","2a"
6,8.0928267823613,0.829595381307797,0.388989916803744,1.5701879511662,"DMD_GH1","2a"
7,6.56450505313763,0.965269329099719,0.39243498991211,1.5683452045825,"DMD_GH1","2a"
8,2.96340863997775,1.78866664381548,0.338939600463336,1.65085989196275,"DMD_GH1","2a"
9,1.66474341191927,2.38829052540133,0.262141518790861,1.72680628402455,"DMD_GH1","2a"
10,0.216897265949545,4.73928211267771,0.23248913579579,1.77787405594295,"DMD_GH1","2a"
12,6.27073585855979,0.882554922312985,0.0214750344867816,2.03839827621931,"DMD_GH1","2a"
13,0.0320831981993664,6.88828945566742,0.386529870296038,1.64599688071391,"DMD_GH1","2a"
14,0.180660278446555,5.0715377710852,0.283792256261977,1.76880946519531,"DMD_GH1","2a"
1,91.9295753556002,-1.08654638471256,0.0705560135588357,8.98063825372598,"PSF_111","2a"
2,106.135101125947,-1.39136126937616,0.0824088720297523,8.90876380062312,"PSF_111","2a"
3,99.4161117421391,-1.25582103090202,0.104447986544116,8.80279679734784,"PSF_111","2a"
4,95.1764105655677,-0.925304369203663,0.0413055910776224,9.17229750787138,"PSF_111","2a"
5,42.4771965576677,0.921220039712015,0.0968539037106547,8.94826114462708,"PSF_111","2a"
6,26.6455203757394,1.27887530880791,0.205923046962069,8.48165179956744,"PSF_111","2a"
7,25.6337396770062,1.21370551408918,0.243091228274533,8.18526997860985,"PSF_111","2a"
8,2.31758349892106,3.87306811100071,0.229556132240074,8.4424023820992,"PSF_111","2a"
9,0.183133755873901,6.64549209865008,0.23715982318245,8.44038422404352,"PSF_111","2a"
10,0.689352357900133,5.21491907556946,0.104042062763314,8.95370127272954,"PSF_111","2a"
11,0.0575241787412417,8.01628234415931,0.183379625294794,8.45569487685577,"PSF_111","2a"
12,0.510935394069324,5.57848891125305,0.0988622674719262,8.9113506502952,"PSF_111","2a"
13,0.26067293197539,6.35835402522499,0.158074412296552,8.55523987333191,"PSF_111","2a"
14,17.9319897955049,1.53791774095864,0.0787957896899297,8.90916897645026,"PSF_111","2a"
1,131.079535432507,-2.57364554727042,0.0871504797562311,13.0332476298129,"PSF_12","2a"
2,120.432944966679,-2.22295676294014,0.0589678233790687,13.058202380682,"PSF_12","2a"
3,185.973300415357,-3.37288867219447,0.189326963702268,12.0063007212738,"PSF_12","2a"
4,120.184920910214,-2.12205223441973,0.0741833462919733,12.8662390502395,"PSF_12","2a"
5,20.7706582416181,2.60013186166501,0.156879214375848,12.4977175526284,"PSF_12","2a"
6,14.9152081685664,2.19956167048668,0.388269505578542,11.2653881732376,"PSF_12","2a"
7,13.3540320488268,2.07449026113635,0.552767386420113,9.87544193572127,"PSF_12","2a"
8,4.76694666586708,2.98864582163855,0.582823726468895,9.62103708278921,"PSF_12","2a"
9,2.72036069632143,3.54611406991645,0.59054750122,9.77967881459642,"PSF_12","2a"
10,1.25066175305839,4.41762069405718,0.572773704985596,10.0483987064849,"PSF_12","2a"
11,1.05810158340457,4.61255362557197,0.584948308182473,9.95506998686997,"PSF_12","2a"
12,0.109244742168997,7.20629236980071,0.548008662989727,10.1199019284334,"PSF_12","2a"
13,0.0876937696330141,7.50809812074604,0.53162993931738,10.5745741200706,"PSF_12","2a"
14,0.036387571272908,8.58641430839747,0.432394664072573,11.0136051613296,"PSF_12","2a"
1,12.0988873709567,-0.26236845659871,0.000927320999954783,1.39287291576913,"SLS_ABH","2a"
2,14.3665857215128,-0.871030336829126,0.0136885785251008,1.39214371512098,"SLS_ABH","2a"
3,18.9986688250926,-1.39435034255527,0.136890125735434,1.30996967332827,"SLS_ABH","2a"
4,10.7986937245902,0.122353188735259,0.000692763143352163,1.38910058016181,"SLS_ABH","2a"
5,6.41652067110634,1.24524305834901,0.274354392849427,1.22273260070649,"SLS_ABH","2a"
6,6.45088633998813,0.933256529394945,0.314635970014763,1.18229405100113,"SLS_ABH","2a"
7,4.36365387873121,1.26308058114481,0.445059549967349,1.0669981460942,"SLS_ABH","2a"
8,0.754049135858465,3.18447763909521,0.41260461209961,1.11271041695616,"SLS_ABH","2a"
9,0.676253985469901,3.24833982893112,0.269943081018131,1.22341378017723,"SLS_ABH","2a"
10,0.191306996612897,4.67798636781222,0.265864396510253,1.22895718667641,"SLS_ABH","2a"
11,0.475967513675903,3.68767610656516,0.155930819667879,1.30265269141824,"SLS_ABH","2a"
12,0.147739528786946,5.03771147449211,0.257514691577657,1.23879274569261,"SLS_ABH","2a"
13,0.14927709121412,5.04801634488343,0.185839102678756,1.29557680039911,"SLS_ABH","2a"
14,1.73161586755162,2.26805295463248,0.0640405255403091,1.35711774689377,"SLS_ABH","2a"
1,9.02362272184591,1.22849792111164,0.0430428949613649,1.07393807832999,"SLS_NS","2a"
2,12.725117733748,-0.0694676111535174,0.000670494255221218,1.11000948109947,"SLS_NS","2a"
3,13.7617096390622,-0.276743938164148,0.0300613222860468,1.09733706225484,"SLS_NS","2a"
4,11.5690211334598,0.191073039645599,0.0130570600965972,1.10065976682723,"SLS_NS","2a"
5,9.01168776157391,0.603620793514822,0.138308894557745,1.03650707745149,"SLS_NS","2a"
6,8.45825706166674,0.586011294237831,0.183011840085659,0.981961305907549,"SLS_NS","2a"
7,5.60944710182949,1.01747784193181,0.218056089135333,0.963306360880239,"SLS_NS","2a"
8,1.64274020109681,2.36173813799386,0.183276624619522,0.995594219424405,"SLS_NS","2a"
9,2.22255496855305,1.98332410076278,0.0895934690644452,1.06415832828221,"SLS_NS","2a"
10,3.25894456706171,1.53497470297878,0.0371728657539377,1.08786433090879,"SLS_NS","2a"
11,2.39949787183723,1.90428583678749,0.0312482417448285,1.08340032587466,"SLS_NS","2a"
12,0.383593331832326,4.00756049443984,0.168210216362409,0.99184686360561,"SLS_NS","2a"
13,1.52137346644822,2.43686422424105,0.115604647825086,1.03561056203937,"SLS_NS","2a"
14,4.08311275671124,1.37084531298798,0.112883979181729,1.03935006449424,"SLS_NS","2a"
1,104.04148273277,-1.36288366659563,0.144445652288433,8.61296358741559,"SSF_121","2a"
2,102.839427752777,-1.24577554891844,0.135002336454732,8.69596225463608,"SSF_121","2a"
3,99.8338275300034,-0.939650781482318,0.26188526207313,8.19071847508789,"SSF_121","2a"
4,104.773474027093,-1.08597968701443,0.136399100969644,8.73008215507664,"SSF_121","2a"
5,46.479384119704,0.703485920206543,0.110381753441146,8.42084178034115,"SSF_121","2a"
6,25.0764924781132,1.35046228057284,0.368283735978347,7.10539802276979,"SSF_121","2a"
7,14.4600976947685,1.89375798383927,0.383111656867098,7.18233546794649,"SSF_121","2a"
8,3.86905960745616,3.28955834221475,0.254408566694261,7.72618707454059,"SSF_121","2a"
9,0.888443744450582,4.89645072408037,0.295990744400313,7.58017246708613,"SSF_121","2a"
10,2.04288665009745,3.95113085767064,0.204126411156828,8.24535930276152,"SSF_121","2a"
11,1.63654308397523,4.21196688939147,0.160567584386837,8.28321266642955,"SSF_121","2a"
12,0.663920694936669,5.23734713042911,0.230620262750307,7.95316251242431,"SSF_121","2a"
13,0.49914808934688,5.57311040465912,0.254741266462749,7.90911742416232,"SSF_121","2a"
14,14.4126052209935,1.79260249723511,0.0757270858048262,8.86376096524168,"SSF_121","2a"
